"amount","customerId","paymentDate","paymentId","rentalId","staffId"
"1","380","2007-02-20","17656","2998","2"
"1","380","2007-02-20","17657","3099","2"
"4","380","2007-02-21","17658","3260","1"
"3","381","2007-02-15","17659","1402","1"
"1","381","2007-02-17","17660","1878","1"
"2","381","2007-02-18","17661","2410","2"
"4","381","2007-02-18","17662","2418","1"
"2","381","2007-02-21","17663","3425","2"
"0","382","2007-02-18","17664","2389","1"
"4","382","2007-02-18","17665","2468","1"
"1","382","2007-02-18","17666","2489","1"
"2","382","2007-02-18","17667","2514","1"
"4","382","2007-02-20","17668","3125","2"
"7","383","2007-02-16","17669","1831","1"
"2","383","2007-02-18","17670","2228","2"
"2","383","2007-02-18","17671","2252","1"
"2","383","2007-02-18","17672","2318","2"
"7","383","2007-02-19","17673","2609","1"
"2","383","2007-02-20","17674","3091","1"
"0","384","2007-02-17","17675","1961","1"
"0","384","2007-02-17","17676","2020","2"
"7","384","2007-02-18","17677","2378","1"
"5","384","2007-02-18","17678","2510","2"
"3","384","2007-02-20","17679","2935","2"
"9","384","2007-02-20","17680","3088","1"
"4","384","2007-02-20","17681","3101","2"
"2","385","2007-02-16","17682","1746","1"
"0","385","2007-02-17","17683","1937","1"
"0","385","2007-02-20","17684","3105","1"
"3","386","2007-02-16","17685","1585","2"
"2","386","2007-02-16","17686","1608","1"
"5","386","2007-02-16","17687","1819","2"
"0","386","2007-02-19","17688","2732","1"
"2","386","2007-02-21","17689","3351","1"
"0","387","2007-02-15","17690","1464","1"
"0","387","2007-02-15","17691","1465","2"
"0","387","2007-02-17","17692","2068","1"
"0","387","2007-02-17","17693","2100","2"
"5","387","2007-02-20","17694","2981","2"
"4","387","2007-02-21","17695","3378","2"
"6","388","2007-02-15","17696","1276","2"
"0","388","2007-02-17","17697","2145","1"
"5","388","2007-02-19","17698","2537","1"
"4","388","2007-02-19","17699","2692","1"
"7","388","2007-02-20","17700","3159","2"
"4","389","2007-02-16","17701","1763","1"
"4","389","2007-02-17","17702","1946","1"
"3","389","2007-02-19","17703","2552","1"
"5","390","2007-02-15","17704","1539","2"
"2","390","2007-02-16","17705","1730","2"
"2","390","2007-02-17","17706","1893","2"
"7","390","2007-02-18","17707","2330","1"
"5","390","2007-02-20","17708","3147","1"
"0","391","2007-02-15","17709","1232","2"
"0","391","2007-02-17","17710","1931","2"
"2","391","2007-02-17","17711","2045","1"
"2","391","2007-02-19","17712","2690","1"
"2","391","2007-02-20","17713","3163","2"
"6","392","2007-02-15","17714","1530","2"
"2","392","2007-02-16","17715","1764","2"
"2","392","2007-02-18","17716","2289","2"
"4","392","2007-02-20","17717","2890","2"
"6","393","2007-02-16","17718","1611","1"
"1","393","2007-02-17","17719","1915","2"
"2","393","2007-02-18","17720","2219","2"
"4","393","2007-02-18","17721","2319","1"
"2","393","2007-02-20","17722","3001","2"
"4","394","2007-02-15","17723","1324","2"
"0","395","2007-02-15","17724","1270","1"
"0","395","2007-02-16","17725","1562","1"
"0","395","2007-02-16","17726","1603","2"
"4","395","2007-02-20","17727","3030","1"
"0","395","2007-02-21","17728","3310","1"
"6","395","2007-02-21","17729","3389","1"
"1","396","2007-02-15","17730","1370","2"
"4","396","2007-02-15","17731","1385","2"
"6","396","2007-02-15","17732","1408","2"
"5","397","2007-02-16","17733","1769","1"
"1","397","2007-02-20","17734","3027","2"
"2","398","2007-02-15","17735","1228","2"
"6","398","2007-02-17","17736","2087","1"
"9","398","2007-02-20","17737","3141","2"
"2","399","2007-02-20","17738","2961","2"
"5","399","2007-02-20","17739","3036","1"
"0","400","2007-02-15","17740","1364","2"
"3","400","2007-02-17","17741","1917","1"
"6","400","2007-02-17","17742","1923","2"
"4","402","2007-02-14","17743","1194","2"
"4","402","2007-02-18","17744","2490","2"
"2","402","2007-02-20","17745","2913","2"
"4","403","2007-02-15","17746","1221","2"
"8","403","2007-02-15","17747","1249","1"
"3","403","2007-02-18","17748","2488","2"
"4","403","2007-02-20","17749","2927","1"
"6","403","2007-02-20","17750","3049","2"
"5","403","2007-02-21","17751","3356","1"
"2","404","2007-02-15","17752","1506","2"
"4","404","2007-02-16","17753","1840","2"
"4","404","2007-02-19","17754","2715","1"
"2","404","2007-02-20","17755","2951","1"
"4","405","2007-02-15","17756","1315","2"
"0","405","2007-02-17","17757","1888","1"
"5","405","2007-02-17","17758","1953","2"
"3","405","2007-02-19","17759","2654","2"
"4","405","2007-02-21","17760","3240","1"
"5","405","2007-02-21","17761","3253","1"
"4","406","2007-02-17","17762","2113","1"
"3","406","2007-02-17","17763","2150","2"
"2","406","2007-02-18","17764","2241","1"
"0","406","2007-02-18","17765","2325","2"
"0","406","2007-02-19","17766","2585","2"
"7","406","2007-02-20","17767","3186","1"
"4","406","2007-02-21","17768","3306","1"
"2","407","2007-02-16","17769","1698","1"
"0","407","2007-02-19","17770","2597","2"
"4","408","2007-02-18","17771","2479","2"
"2","408","2007-02-19","17772","2564","1"
"2","408","2007-02-19","17773","2728","2"
"5","409","2007-02-15","17774","1226","2"
"8","409","2007-02-18","17775","2310","2"
"2","410","2007-02-15","17776","1514","1"
"2","410","2007-02-17","17777","2073","1"
"4","410","2007-02-18","17778","2255","1"
"5","410","2007-02-18","17779","2400","2"
"0","410","2007-02-20","17780","2971","2"
"4","410","2007-02-21","17781","3249","1"
"0","411","2007-02-17","17782","1985","1"
"2","411","2007-02-17","17783","1997","2"
"0","411","2007-02-19","17784","2712","2"
"2","412","2007-02-21","17785","3292","1"
"5","413","2007-02-17","17786","2130","2"
"4","413","2007-02-19","17787","2545","2"
"4","414","2007-02-18","17788","2246","1"
"9","414","2007-02-19","17789","2559","1"
"5","414","2007-02-21","17790","3318","1"
"4","415","2007-02-17","17791","1867","2"
"2","415","2007-02-20","17792","3211","1"
"2","416","2007-02-14","17793","1158","2"
"4","416","2007-02-15","17794","1343","1"
"0","416","2007-02-16","17795","1553","2"
"2","416","2007-02-16","17796","1596","2"
"0","416","2007-02-16","17797","1771","2"
"3","417","2007-02-17","17798","1921","1"
"2","418","2007-02-19","17799","2825","1"
"2","418","2007-02-20","17800","2943","2"
"2","418","2007-02-20","17801","2969","2"
"2","419","2007-02-19","17802","2793","2"
"3","420","2007-02-19","17803","2672","2"
"0","420","2007-02-19","17804","2698","1"
"0","420","2007-02-19","17805","2726","1"
"4","421","2007-02-16","17806","1693","1"
"2","421","2007-02-18","17807","2407","2"
"4","421","2007-02-20","17808","3170","1"
"0","422","2007-02-16","17809","1846","1"
"4","422","2007-02-17","17810","1897","1"
"2","422","2007-02-19","17811","2747","2"
"5","422","2007-02-19","17812","2778","1"
"3","423","2007-02-15","17813","1504","1"
"0","423","2007-02-16","17814","1827","2"
"6","423","2007-02-19","17815","2600","1"
"6","423","2007-02-19","17816","2758","2"
"8","423","2007-02-20","17817","3072","1"
"4","424","2007-02-20","17818","3044","2"
"6","424","2007-02-20","17819","3166","1"
"0","424","2007-02-21","17820","3404","2"
"6","425","2007-02-21","17821","3276","1"
"6","426","2007-02-16","17822","1709","1"
"7","426","2007-02-16","17823","1842","1"
"2","426","2007-02-18","17824","2204","1"
"0","426","2007-02-19","17825","2804","1"
"0","426","2007-02-21","17826","3243","1"
"5","427","2007-02-15","17827","1342","1"
"3","427","2007-02-16","17828","1628","2"
"5","427","2007-02-16","17829","1648","1"
"1","427","2007-02-16","17830","1857","1"
"0","427","2007-02-18","17831","2466","2"
"3","428","2007-02-15","17832","1227","1"
"2","428","2007-02-15","17833","1471","2"
"3","428","2007-02-16","17834","1601","1"
"2","428","2007-02-19","17835","2677","1"
"0","428","2007-02-21","17836","3377","2"
"5","429","2007-02-16","17837","1781","2"
"2","429","2007-02-16","17838","1798","2"
"7","429","2007-02-17","17839","1916","2"
"2","429","2007-02-21","17840","3409","1"
"0","430","2007-02-15","17841","1207","2"
"2","430","2007-02-15","17842","1274","1"
"2","430","2007-02-15","17843","1538","1"
"6","430","2007-02-16","17844","1759","1"
"0","430","2007-02-20","17845","2892","2"
"0","430","2007-02-20","17846","3153","2"
"2","431","2007-02-16","17847","1561","2"
"4","431","2007-02-17","17848","2096","1"
"3","431","2007-02-18","17849","2269","1"
"4","431","2007-02-18","17850","2281","2"
"2","431","2007-02-19","17851","2761","2"
"6","431","2007-02-21","17852","3304","2"
"8","431","2007-02-21","17853","3369","2"
"5","432","2007-02-14","17854","1180","2"
"2","432","2007-02-16","17855","1597","2"
"4","432","2007-02-20","17856","3194","2"
"0","434","2007-02-15","17857","1225","1"
"5","434","2007-02-16","17858","1584","2"
"7","434","2007-02-18","17859","2415","2"
"3","434","2007-02-18","17860","2430","1"
"3","434","2007-02-18","17861","2494","1"
"2","434","2007-02-20","17862","3014","1"
"2","434","2007-02-20","17863","3037","2"
"0","435","2007-02-15","17864","1443","2"
"0","435","2007-02-20","17865","2984","1"
"9","436","2007-02-18","17866","2291","1"
"5","437","2007-02-18","17867","2239","2"
"2","437","2007-02-19","17868","2792","1"
"2","437","2007-02-21","17869","3265","2"
"4","438","2007-02-15","17870","1431","1"
"0","438","2007-02-16","17871","1779","2"
"0","438","2007-02-18","17872","2206","2"
"4","438","2007-02-19","17873","2591","1"
"4","438","2007-02-21","17874","3315","1"
"0","438","2007-02-21","17875","3368","2"
"4","439","2007-02-15","17876","1264","1"
"0","439","2007-02-16","17877","1557","2"
"4","439","2007-02-17","17878","2097","2"
"2","439","2007-02-19","17879","2621","1"
"2","439","2007-02-20","17880","2992","1"
"6","439","2007-02-21","17881","3294","1"
"4","441","2007-02-16","17882","1602","1"
"4","441","2007-02-18","17883","2328","2"
"5","442","2007-02-15","17884","1251","1"
"0","442","2007-02-15","17885","1358","2"
"8","442","2007-02-16","17886","1576","2"
"2","442","2007-02-16","17887","1774","1"
"2","443","2007-02-19","17888","2871","1"
"0","444","2007-02-15","17889","1239","1"
"3","444","2007-02-15","17890","1397","2"
"1","444","2007-02-15","17891","1441","2"
"4","444","2007-02-19","17892","2551","1"
"7","444","2007-02-21","17893","3301","2"
"5","444","2007-02-21","17894","3415","2"
"4","446","2007-02-18","17895","2248","1"
"3","446","2007-02-18","17896","2335","2"
"6","446","2007-02-18","17897","2520","2"
"0","446","2007-02-19","17898","2710","2"
"2","446","2007-02-20","17899","3060","1"
"0","446","2007-02-20","17900","3168","2"
"0","447","2007-02-15","17901","1230","2"
"2","447","2007-02-17","17902","1890","2"
"4","447","2007-02-17","17903","2025","1"
"4","447","2007-02-18","17904","2285","2"
"5","448","2007-02-15","17905","1313","1"
"7","448","2007-02-16","17906","1823","2"
"0","448","2007-02-19","17907","2697","2"
"3","448","2007-02-21","17908","3225","2"
"5","448","2007-02-21","17909","3347","2"
"4","449","2007-02-15","17910","1295","2"
"0","449","2007-02-18","17911","2348","1"
"2","449","2007-02-20","17912","2970","2"
"4","450","2007-02-16","17913","1639","2"
"0","450","2007-02-16","17914","1739","1"
"2","450","2007-02-17","17915","1914","2"
"0","450","2007-02-18","17916","2278","2"
"4","450","2007-02-18","17917","2501","1"
"2","450","2007-02-19","17918","2626","1"
"4","450","2007-02-20","17919","3155","1"
"0","451","2007-02-15","17920","1202","1"
"0","451","2007-02-16","17921","1851","1"
"6","451","2007-02-17","17922","1940","1"
"1","451","2007-02-19","17923","2671","1"
"3","451","2007-02-20","17924","2909","1"
"0","451","2007-02-20","17925","2917","2"
"6","451","2007-02-21","17926","3316","1"
"4","452","2007-02-15","17927","1203","2"
"5","452","2007-02-15","17928","1512","1"
"3","452","2007-02-16","17929","1794","1"
"0","452","2007-02-18","17930","2263","1"
"4","452","2007-02-18","17931","2266","2"
"0","452","2007-02-18","17932","2504","1"
"0","452","2007-02-19","17933","2661","2"
"5","453","2007-02-19","17934","2852","2"
"7","453","2007-02-19","17935","2853","1"
"4","453","2007-02-20","17936","2887","2"
"4","454","2007-02-16","17937","1647","2"
"7","454","2007-02-16","17938","1844","2"
"1","454","2007-02-16","17939","1861","1"
"4","454","2007-02-17","17940","1938","1"
"5","454","2007-02-17","17941","2048","2"
"5","454","2007-02-17","17942","2182","2"
"2","454","2007-02-18","17943","2437","1"
"9","454","2007-02-19","17944","2666","2"
"2","454","2007-02-21","17945","3221","1"
"4","454","2007-02-21","17946","3362","1"
"1","455","2007-02-15","17947","1382","2"
"1","455","2007-02-16","17948","1802","1"
"2","455","2007-02-17","17949","1906","1"
"0","455","2007-02-18","17950","2356","2"
"2","456","2007-02-15","17951","1288","1"
"0","456","2007-02-16","17952","1700","1"
"5","456","2007-02-17","17953","2103","2"
"6","456","2007-02-17","17954","2146","2"
"4","456","2007-02-18","17955","2192","1"
"0","456","2007-02-18","17956","2404","1"
"2","456","2007-02-19","17957","2581","1"
"4","457","2007-02-15","17958","1453","2"
"0","457","2007-02-16","17959","1727","2"
"0","457","2007-02-17","17960","2030","1"
"7","457","2007-02-17","17961","2172","1"
"4","457","2007-02-19","17962","2670","1"
"3","457","2007-02-19","17963","2762","1"
"0","457","2007-02-19","17964","2811","1"
"2","457","2007-02-20","17965","3115","2"
"2","457","2007-02-20","17966","3184","2"
"5","458","2007-02-19","17967","2629","2"
"0","458","2007-02-21","17968","3322","2"
"0","459","2007-02-17","17969","1876","2"
"2","459","2007-02-17","17970","1977","2"
"4","459","2007-02-17","17971","2075","2"
"0","459","2007-02-20","17972","2899","1"
"4","459","2007-02-20","17973","3041","2"
"0","459","2007-02-20","17974","3045","2"
"9","459","2007-02-21","17975","3234","2"
"0","460","2007-02-15","17976","1392","2"
"5","461","2007-02-20","17977","3127","2"
"4","461","2007-02-21","17978","3319","2"
"5","462","2007-02-16","17979","1773","2"
"9","462","2007-02-17","17980","1926","2"
"4","462","2007-02-21","17981","3279","1"
"2","463","2007-02-15","17982","1284","1"
"4","463","2007-02-18","17983","2527","2"
"2","463","2007-02-20","17984","3217","1"
"4","463","2007-02-21","17985","3309","1"
"4","464","2007-02-15","17986","1277","2"
"2","464","2007-02-20","17987","3167","1"
"2","465","2007-02-15","17988","1337","1"
"4","465","2007-02-17","17989","2079","1"
"8","465","2007-02-17","17990","2159","1"
"0","465","2007-02-18","17991","2524","2"
"7","466","2007-02-16","17992","1808","2"
"8","466","2007-02-18","17993","2446","2"
"3","466","2007-02-20","17994","3022","1"
"4","466","2007-02-21","17995","3237","2"
"2","466","2007-02-21","17996","3343","2"
"8","467","2007-02-16","17997","1737","1"
"4","467","2007-02-17","17998","2121","2"
"9","467","2007-02-19","17999","2870","2"
"6","467","2007-02-21","18000","3250","1"
"2","468","2007-02-15","18001","1229","2"
"8","468","2007-02-16","18002","1627","1"
"2","468","2007-02-16","18003","1821","1"
"2","468","2007-02-17","18004","1975","1"
"4","468","2007-02-18","18005","2462","2"
"0","468","2007-02-19","18006","2831","1"
"0","469","2007-02-15","18007","1399","2"
"9","469","2007-02-16","18008","1680","1"
"0","470","2007-02-15","18009","1256","2"
"0","470","2007-02-15","18010","1283","1"
"7","470","2007-02-16","18011","1594","2"
"4","471","2007-02-15","18012","1447","1"
"2","471","2007-02-15","18013","1449","2"
"2","471","2007-02-17","18014","2165","2"
"4","471","2007-02-18","18015","2350","2"
"4","471","2007-02-20","18016","3073","2"
"4","472","2007-02-15","18017","1389","1"
"6","472","2007-02-16","18018","1776","2"
"5","472","2007-02-19","18019","2538","1"
"0","472","2007-02-20","18020","2974","1"
"4","472","2007-02-20","18021","2991","1"
"0","472","2007-02-21","18022","3254","1"
"0","473","2007-02-16","18023","1748","2"
"2","473","2007-02-17","18024","2125","1"
"4","473","2007-02-19","18025","2553","2"
"4","473","2007-02-19","18026","2748","2"
"8","474","2007-02-16","18027","1758","1"
"7","474","2007-02-20","18028","2944","2"
"3","476","2007-02-16","18029","1682","1"
"0","476","2007-02-17","18030","2080","1"
"4","476","2007-02-18","18031","2508","2"
"2","476","2007-02-21","18032","3448","2"
"6","477","2007-02-16","18033","1714","1"
"2","477","2007-02-17","18034","2187","1"
"10","477","2007-02-18","18035","2306","1"
"4","477","2007-02-19","18036","2676","2"
"0","478","2007-02-16","18037","1708","1"
"4","478","2007-02-18","18038","2358","2"
"6","478","2007-02-18","18039","2529","1"
"8","478","2007-02-19","18040","2616","2"
"4","478","2007-02-19","18041","2765","2"
"4","478","2007-02-21","18042","3259","2"
"2","479","2007-02-17","18043","1902","1"
"3","479","2007-02-17","18044","1947","2"
"2","479","2007-02-17","18045","1987","2"
"3","479","2007-02-17","18046","2071","2"
"2","479","2007-02-18","18047","2376","2"
"6","479","2007-02-19","18048","2764","2"
"0","480","2007-02-15","18049","1353","1"
"0","480","2007-02-16","18050","1733","1"
"2","481","2007-02-14","18051","1168","2"
"4","481","2007-02-18","18052","2296","2"
"4","481","2007-02-21","18053","3285","2"
"0","481","2007-02-21","18054","3293","2"
"2","482","2007-02-20","18055","3048","2"
"0","482","2007-02-21","18056","3255","2"
"4","483","2007-02-19","18057","2855","1"
"0","483","2007-02-19","18058","2867","2"
"8","483","2007-02-21","18059","3380","1"
"3","484","2007-02-15","18060","1351","1"
"3","484","2007-02-16","18061","1643","2"
"4","484","2007-02-17","18062","2015","1"
"5","484","2007-02-17","18063","2044","1"
"2","485","2007-02-16","18064","1684","2"
"8","485","2007-02-16","18065","1721","1"
"4","486","2007-02-17","18066","2036","1"
"5","486","2007-02-17","18067","2102","1"
"2","486","2007-02-19","18068","2566","2"
"2","486","2007-02-19","18069","2797","2"
"3","487","2007-02-20","18070","3100","2"
"3","488","2007-02-16","18071","1655","2"
"5","488","2007-02-16","18072","1704","2"
"3","489","2007-02-16","18073","1614","2"
"0","489","2007-02-18","18074","2201","1"
"7","489","2007-02-18","18075","2370","1"
"4","489","2007-02-19","18076","2802","1"
"3","490","2007-02-16","18077","1665","1"
"2","491","2007-02-15","18078","1198","2"
"4","491","2007-02-15","18079","1371","1"
"4","491","2007-02-17","18080","2026","2"
"4","491","2007-02-18","18081","2259","1"
"4","491","2007-02-18","18082","2391","2"
"4","491","2007-02-20","18083","3031","2"
"3","491","2007-02-21","18084","3440","1"
"1","492","2007-02-16","18085","1691","2"
"4","492","2007-02-16","18086","1855","2"
"4","492","2007-02-17","18087","1956","2"
"9","492","2007-02-21","18088","3298","1"
"3","493","2007-02-17","18089","2109","2"
"4","493","2007-02-18","18090","2365","1"
"0","493","2007-02-19","18091","2579","1"
"2","493","2007-02-19","18092","2864","1"
"2","494","2007-02-16","18093","1683","1"
"2","495","2007-02-17","18094","2074","2"
"4","495","2007-02-18","18095","2349","1"
"7","495","2007-02-19","18096","2549","1"
"3","495","2007-02-20","18097","3129","1"
"2","496","2007-02-19","18098","2567","1"
"8","497","2007-02-17","18099","2180","2"
"5","497","2007-02-18","18100","2298","1"
"2","497","2007-02-18","18101","2406","1"
"4","497","2007-02-19","18102","2818","2"
"6","498","2007-02-15","18103","1253","1"
"2","498","2007-02-16","18104","1782","1"
"2","498","2007-02-18","18105","2344","1"
"4","498","2007-02-18","18106","2449","1"
"0","498","2007-02-20","18107","3098","1"
"0","498","2007-02-21","18108","3360","2"
"2","499","2007-02-15","18109","1355","1"
"4","499","2007-02-15","18110","1526","2"
"4","499","2007-02-16","18111","1830","2"
"1","499","2007-02-21","18112","3241","2"
"5","500","2007-02-15","18113","1375","1"
"5","500","2007-02-15","18114","1388","2"
"3","500","2007-02-17","18115","2189","2"
"6","500","2007-02-18","18116","2526","2"
"2","500","2007-02-20","18117","2996","1"
"5","501","2007-02-21","18118","3222","2"
"7","501","2007-02-21","18119","3412","1"
"7","502","2007-02-16","18120","1696","2"
"0","502","2007-02-18","18121","2420","2"
"0","502","2007-02-20","18122","2911","1"
"4","503","2007-02-17","18123","2108","2"
"2","503","2007-02-18","18124","2225","1"
"0","503","2007-02-21","18125","3430","2"
"1","504","2007-02-19","18126","2720","1"
"6","504","2007-02-20","18127","2938","1"
"5","505","2007-02-16","18128","1799","2"
"4","505","2007-02-17","18129","1886","2"
"7","505","2007-02-19","18130","2773","1"
"5","505","2007-02-20","18131","3137","1"
"6","506","2007-02-15","18132","1446","1"
"2","506","2007-02-15","18133","1467","1"
"0","506","2007-02-16","18134","1565","2"
"9","506","2007-02-19","18135","2755","1"
"6","506","2007-02-19","18136","2824","2"
"4","507","2007-02-15","18137","1307","2"
"4","507","2007-02-17","18138","2143","1"
"4","507","2007-02-18","18139","2283","2"
"4","508","2007-02-16","18140","1661","2"
"2","509","2007-02-15","18141","1267","1"
"4","509","2007-02-20","18142","2919","2"
"5","510","2007-02-15","18143","1435","2"
"0","510","2007-02-16","18144","1757","2"
"0","510","2007-02-17","18145","1925","2"
"8","510","2007-02-19","18146","2729","1"
"0","510","2007-02-19","18147","2806","2"
"0","510","2007-02-19","18148","2817","2"
"8","510","2007-02-21","18149","3352","2"
"5","510","2007-02-21","18150","3465","2"
"2","511","2007-02-15","18151","1281","2"
"2","511","2007-02-15","18152","1508","1"
"10","511","2007-02-20","18153","2966","2"
"4","511","2007-02-21","18154","3366","2"
"6","512","2007-02-14","18155","1176","1"
"4","512","2007-02-17","18156","2029","2"
"2","512","2007-02-18","18157","2364","1"
"2","513","2007-02-16","18158","1607","1"
"7","513","2007-02-18","18159","2290","2"
"1","513","2007-02-19","18160","2737","2"
"4","514","2007-02-16","18161","1692","2"
"3","514","2007-02-17","18162","2002","1"
"0","514","2007-02-18","18163","2362","2"
"0","514","2007-02-19","18164","2789","1"
"2","514","2007-02-20","18165","3084","2"
